hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,1,372,2016,July,29,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,62.0,0,0
City Hotel,0,27,2016,October,43,16,2,0,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,28.0,,0,Transient,85.0,0,0
Resort Hotel,1,41,2015,July,30,20,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,135.0,0,1
City Hotel,1,66,2016,September,37,7,0,1,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,92.7,0,0
Resort Hotel,0,152,2017,April,14,5,1,4,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,D,No Deposit,,223.0,0,Transient-Party,67.0,1,0
City Hotel,0,15,2017,June,23,7,0,2,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,484.0,,0,Transient-Party,130.0,0,0
City Hotel,1,62,2016,February,8,18,2,3,2,0.0,0,BB,UKR,Online TA,TA/TO,0,0,0,B,No Deposit,9.0,,0,Transient,65.66,0,0
City Hotel,0,5,2015,September,37,6,2,0,1,0.0,0,HB,PRT,Direct,Direct,0,0,0,D,No Deposit,14.0,,0,Transient,171.0,1,0
City Hotel,1,288,2015,October,42,16,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,Non Refund,6.0,,0,Transient-Party,80.0,0,0
City Hotel,0,255,2017,April,15,13,2,6,0,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,B,No Deposit,9.0,,0,Transient,101.7,0,1
City Hotel,0,60,2016,September,37,6,2,5,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,No Deposit,15.0,,0,Transient,167.04,0,0
City Hotel,0,31,2015,December,49,5,2,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,6.0,,0,Transient,63.0,0,0
Resort Hotel,1,113,2016,August,33,13,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,241.0,0,0
City Hotel,1,28,2017,February,6,6,1,2,1,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,80.0,0,1
City Hotel,0,3,2017,January,3,16,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,9,A,No Deposit,,40.0,0,Transient,65.0,0,1
City Hotel,1,104,2015,August,36,30,2,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,90.0,0,0
Resort Hotel,0,0,2016,April,14,1,2,2,1,0.0,0,BB,UKR,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,82.5,0,1
City Hotel,1,37,2016,October,42,13,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,56.0,,0,Transient-Party,95.0,0,0
Resort Hotel,0,67,2016,August,33,11,4,9,2,1.0,0,BB,FRA,Direct,Direct,0,0,0,C,No Deposit,250.0,,0,Transient,221.62,0,0
City Hotel,0,7,2016,July,28,8,0,1,3,0.0,0,BB,ITA,Direct,Direct,0,0,0,E,No Deposit,,,0,Transient,187.25,0,2
Resort Hotel,0,6,2016,May,20,11,0,0,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,No Deposit,,110.0,0,Transient,0.0,0,0
Resort Hotel,1,67,2015,September,39,25,2,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,109.0,0,2
City Hotel,1,552,2017,January,2,12,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,62.0,0,0
City Hotel,0,93,2017,April,15,10,1,1,2,1.0,0,BB,GBR,Direct,Direct,0,0,0,E,No Deposit,14.0,,0,Transient,144.0,0,0
City Hotel,0,119,2017,June,26,30,0,1,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,108.0,0,0
City Hotel,0,212,2017,June,23,8,0,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,117.0,0,1
City Hotel,0,0,2016,September,40,27,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,No Deposit,174.0,,0,Transient-Party,160.0,0,0
City Hotel,0,346,2016,September,38,13,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,6.0,,0,Transient-Party,115.0,0,1
Resort Hotel,0,165,2016,August,33,13,2,1,3,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,314.0,,0,Transient,199.26,0,0
Resort Hotel,1,58,2016,September,40,30,1,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,112.33,0,0
City Hotel,1,174,2017,June,22,1,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,110.0,0,0
City Hotel,1,137,2016,January,5,27,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,Non Refund,29.0,,45,Transient,70.0,0,0
Resort Hotel,0,172,2016,July,31,24,2,4,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,314.0,,0,Transient-Party,126.8,0,2
City Hotel,0,95,2016,May,21,19,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient-Party,132.6,0,1
City Hotel,0,30,2016,June,25,18,2,1,2,2.0,0,BB,ITA,Online TA,TA/TO,0,0,0,F,No Deposit,9.0,,0,Transient,198.9,0,3
City Hotel,1,28,2017,March,12,20,1,2,2,0.0,0,SC,TUR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,88.0,0,0
City Hotel,0,0,2016,July,29,14,0,1,2,2.0,0,BB,URY,Direct,Direct,0,0,0,E,No Deposit,,,0,Transient,176.8,1,2
City Hotel,1,26,2017,May,21,22,1,0,1,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,160.0,0,1
Resort Hotel,1,40,2017,January,3,16,1,2,1,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,A,No Deposit,,,0,Transient-Party,55.0,0,0
Resort Hotel,0,4,2017,May,18,5,2,2,2,0.0,0,BB,NZL,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,95.0,0,2
City Hotel,1,42,2016,March,11,6,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,80.76,0,1
Resort Hotel,1,25,2015,October,44,26,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,8.0,,0,Contract,48.6,0,1
City Hotel,1,18,2017,March,12,20,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,100.3,0,0
Resort Hotel,1,46,2016,March,11,11,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,375.0,,0,Transient-Party,25.0,0,0
Resort Hotel,0,8,2017,January,3,19,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,No Deposit,250.0,,0,Transient,69.0,0,2
Resort Hotel,0,84,2017,April,16,18,1,5,2,0.0,0,BB,ITA,Direct,Direct,0,0,0,E,No Deposit,,,0,Transient-Party,74.6,0,1
City Hotel,0,316,2016,May,22,26,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,30.0,,0,Transient-Party,110.0,0,0
Resort Hotel,0,2,2016,March,12,18,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,6.0,,0,Transient,29.0,0,0
Resort Hotel,0,34,2015,July,29,12,2,5,2,0.0,1,HB,ESP,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,156.0,,0,Transient,149.0,0,1
Resort Hotel,0,12,2017,January,4,28,2,1,2,0.0,0,BB,CHL,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,68.0,0,2
City Hotel,1,71,2016,June,25,14,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,236.0,,0,Transient,120.0,0,0
Resort Hotel,0,383,2016,October,41,6,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,No Deposit,315.0,,0,Transient-Party,54.0,1,0
City Hotel,1,11,2016,November,45,5,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,140.0,0,1
City Hotel,0,34,2015,October,43,18,1,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,27.0,,0,Transient,76.5,0,0
City Hotel,1,65,2015,September,36,5,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,62.0,0,0
City Hotel,1,68,2017,June,23,10,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,170.0,0,1
Resort Hotel,0,156,2017,May,19,8,2,5,2,0.0,0,HB,IRL,Groups,TA/TO,0,0,0,D,No Deposit,434.0,,0,Transient-Party,90.0,0,0
Resort Hotel,1,24,2017,February,6,10,0,2,3,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,100.0,0,0
City Hotel,0,7,2015,November,45,2,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,95.0,0,1
City Hotel,1,129,2016,May,21,15,2,1,1,1.0,0,BB,DEU,Direct,Direct,0,0,0,B,No Deposit,14.0,,0,Transient-Party,94.5,0,0
City Hotel,1,107,2016,November,45,4,1,2,2,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,124.2,0,1
City Hotel,0,16,2015,October,42,15,1,3,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,1.0,,0,Transient-Party,65.0,0,0
Resort Hotel,1,187,2015,August,32,4,0,5,2,0.0,0,HB,PRT,Online TA,TA/TO,1,1,0,E,No Deposit,240.0,,0,Transient,66.0,0,2
Resort Hotel,0,21,2016,December,49,1,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,60.0,0,2
City Hotel,0,155,2016,July,30,18,1,1,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,103.5,0,0
City Hotel,1,214,2017,August,33,18,2,4,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,126.6,0,0
Resort Hotel,0,0,2016,October,44,26,0,1,1,0.0,0,BB,PRT,Offline TA/TO,Direct,1,0,2,A,No Deposit,,,0,Transient,56.0,1,0
City Hotel,0,27,2016,September,39,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,288.0,,0,Transient-Party,95.0,0,0
Resort Hotel,1,217,2016,August,33,10,2,5,2,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,170.0,0,0
Resort Hotel,0,68,2017,January,1,7,0,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient-Party,37.0,0,1
Resort Hotel,0,73,2016,May,19,3,0,0,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,No Deposit,240.0,,0,Transient,0.0,0,1
Resort Hotel,0,150,2017,August,33,18,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,40.0,,0,Contract,121.5,0,0
City Hotel,1,283,2016,December,53,30,2,3,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,82.79,0,0
Resort Hotel,1,171,2016,April,18,30,4,10,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,65.7,0,2
City Hotel,0,138,2016,April,16,13,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,1.0,,0,Transient-Party,90.0,0,1
Resort Hotel,0,36,2016,August,35,22,2,5,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,D,No Deposit,250.0,,0,Transient,251.14,0,1
Resort Hotel,1,133,2017,August,33,16,2,5,2,0.0,0,BB,CN,Direct,Direct,0,0,0,F,No Deposit,250.0,,0,Transient,264.0,0,2
City Hotel,1,69,2017,April,14,6,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,Non Refund,,197.0,0,Transient,85.0,0,0
City Hotel,1,12,2015,July,29,18,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,1.0,,0,Transient-Party,62.0,0,0
City Hotel,0,12,2015,September,37,9,0,2,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,No Deposit,7.0,,0,Transient,80.85,0,2
City Hotel,0,111,2016,April,18,26,0,3,3,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,22.0,,0,Transient,105.4,0,1
City Hotel,1,262,2015,July,28,6,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,No Deposit,1.0,,0,Contract,62.0,0,0
City Hotel,0,21,2016,February,10,29,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,117.0,0,0
City Hotel,1,102,2016,October,44,27,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,104.4,0,0
Resort Hotel,0,2,2016,June,25,13,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,No Deposit,,,0,Transient,122.86,0,1
City Hotel,0,140,2015,November,47,18,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,29.0,,87,Transient-Party,65.0,0,0
Resort Hotel,0,84,2017,March,9,1,6,19,2,0.0,0,HB,CN,Groups,TA/TO,0,0,0,A,No Deposit,440.0,,0,Transient-Party,55.8,0,1
City Hotel,1,99,2017,July,29,17,1,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,150.0,0,1
City Hotel,0,41,2017,April,17,26,0,2,1,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,A,No Deposit,,280.0,0,Transient-Party,110.0,0,0
Resort Hotel,0,23,2016,April,16,15,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,75.0,0,1
City Hotel,0,27,2015,September,38,18,1,2,2,0.0,0,SC,POL,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient-Party,115.0,0,1
Resort Hotel,0,28,2015,August,33,11,0,4,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,,,0,Transient,207.0,0,0
City Hotel,0,97,2017,August,35,28,1,3,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,19.0,,0,Transient-Party,104.0,0,0
City Hotel,0,34,2017,April,15,15,0,1,3,0.0,0,BB,USA,Direct,Direct,0,0,0,D,No Deposit,14.0,,0,Transient,185.0,0,0
City Hotel,0,33,2016,August,33,11,0,1,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,152.1,0,1
Resort Hotel,0,16,2016,September,37,4,2,2,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,No Deposit,250.0,,0,Transient-Party,189.1,0,2
City Hotel,0,145,2015,August,35,29,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,17.0,,0,Transient-Party,94.5,0,0
Resort Hotel,0,336,2016,September,38,15,0,3,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,No Deposit,,223.0,0,Transient-Party,70.0,0,0
City Hotel,0,134,2017,February,8,25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,30.0,,0,Transient-Party,75.0,0,0
Resort Hotel,0,7,2016,November,48,21,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,3,A,No Deposit,314.0,,0,Transient,34.4,0,0
City Hotel,1,0,2015,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,6.0,,0,Transient-Party,109.0,0,0
City Hotel,0,0,2016,December,50,10,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,,,0,Transient,103.5,0,0
City Hotel,1,279,2015,July,30,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,No Deposit,1.0,,0,Transient-Party,62.8,0,0
Resort Hotel,0,47,2015,October,43,19,1,4,2,0.0,0,HB,ESP,Groups,Direct,0,0,0,A,No Deposit,,,47,Transient-Party,76.8,0,0
City Hotel,0,335,2016,October,42,13,0,3,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,56.0,,0,Transient-Party,80.0,0,0
Resort Hotel,0,0,2017,March,13,28,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,4,A,No Deposit,,47.0,0,Transient,35.0,0,0
City Hotel,1,151,2016,January,4,19,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,19.0,,63,Transient-Party,80.0,0,0
Resort Hotel,0,237,2016,June,26,21,2,7,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,No Deposit,240.0,,0,Transient,135.0,0,3
Resort Hotel,0,12,2016,April,15,9,2,2,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,26.0,,0,Transient,61.56,0,0
City Hotel,0,13,2017,May,22,29,1,3,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,290.0,148.0,0,Transient,110.0,0,0
City Hotel,0,395,2017,May,20,17,0,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,229.0,,0,Transient-Party,112.67,0,0
City Hotel,1,143,2016,June,23,2,2,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,100.3,0,0
City Hotel,1,26,2016,June,27,26,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,1,0,D,No Deposit,9.0,,0,Transient,152.67,0,0
Resort Hotel,0,0,2017,February,6,8,0,1,2,0.0,0,BB,PRT,Direct,Direct,1,0,0,D,No Deposit,,,0,Transient,56.0,1,0
City Hotel,0,2,2016,January,3,16,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,78.5,1,1
City Hotel,1,258,2015,July,27,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,No Deposit,1.0,,0,Contract,62.0,0,0
City Hotel,0,16,2016,November,46,6,2,1,1,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,163.17,0,2
Resort Hotel,0,101,2015,August,35,29,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,No Deposit,250.0,,0,Transient,135.14,0,1
City Hotel,0,10,2017,March,13,31,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,9.0,,0,Transient,166.0,0,2
Resort Hotel,0,1,2016,November,49,29,0,1,2,0.0,1,BB,NZL,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,48.0,0,1
City Hotel,0,83,2015,December,53,27,2,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,14.0,,0,Transient,85.5,0,2
Resort Hotel,1,138,2016,April,18,25,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,E,Non Refund,,,0,Transient,65.0,0,0
City Hotel,0,104,2017,March,12,19,2,5,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,20.0,,0,Transient-Party,65.0,0,0
City Hotel,1,74,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,6.0,,0,Transient-Party,101.5,0,0
City Hotel,1,87,2016,May,21,16,4,10,2,2.0,0,BB,RUS,Online TA,TA/TO,0,0,0,F,No Deposit,9.0,,0,Transient,187.85,0,1
City Hotel,1,1,2016,February,10,28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,134.0,,0,Transient-Party,60.0,0,0
City Hotel,1,52,2017,March,11,13,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,56.0,,0,Transient,80.0,0,0
City Hotel,0,0,2017,May,21,23,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,,,0,Transient,180.0,0,0
City Hotel,1,101,2016,December,52,21,2,5,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,122.0,0,2
Resort Hotel,0,33,2016,October,44,29,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,74.0,0,4
City Hotel,1,304,2015,August,34,17,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,Non Refund,1.0,,0,Transient-Party,62.0,0,0
City Hotel,0,0,2016,April,16,15,1,2,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,119.0,0,0
Resort Hotel,0,0,2016,November,48,24,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,,,0,Transient,55.0,0,0
Resort Hotel,0,230,2016,October,42,12,0,1,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,D,No Deposit,,,0,Transient,68.5,1,1
City Hotel,1,360,2015,October,42,12,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,Non Refund,1.0,,0,Contract,62.0,0,0
Resort Hotel,0,131,2016,October,42,9,2,0,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,No Deposit,,,0,Transient,61.0,1,0
City Hotel,0,164,2015,October,40,2,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,19.0,,0,Transient-Party,100.0,0,0
City Hotel,1,37,2016,October,42,13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,56.0,,0,Transient-Party,105.0,0,0
City Hotel,0,53,2017,April,17,28,0,1,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,144.0,0,1
Resort Hotel,1,312,2017,March,10,5,2,5,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,E,No Deposit,298.0,,0,Transient-Party,58.0,0,0
City Hotel,0,215,2016,November,48,21,1,1,1,0.0,0,BB,CZE,Groups,Corporate,0,0,0,A,No Deposit,,233.0,0,Transient,75.0,0,0
City Hotel,0,291,2016,September,39,21,0,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,1,A,No Deposit,3.0,,44,Transient-Party,117.0,0,1
City Hotel,1,91,2016,March,12,18,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,29.0,,20,Transient,75.0,0,0
City Hotel,1,219,2015,September,36,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,3.0,,0,Transient-Party,80.0,0,0
Resort Hotel,1,168,2016,April,16,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,245.0,,0,Transient,86.0,0,0
Resort Hotel,0,182,2016,July,28,5,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,E,No Deposit,250.0,,0,Transient,99.46,0,2
Resort Hotel,0,0,2017,June,25,22,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,No Deposit,,470.0,0,Transient,75.0,1,1
